         988
      870000      190020  3.7554249E-03  -9.130887    
      870000      200021  3.7160960E-03  -9.012869    
      870000      230022  2.9246517E-02  -7.362073    
      870000      240023  3.1099247E-02  -11.52483    
      870000      250024  2.2680040E-02  -15.20268    
      870000      260025  4.0533815E-02  -21.28565    
      870000      270026  2.2688277E-02  -29.59635    
      870000      270028  3.8362592E-02  -20.07543    
      870000      290030  3.0814167E-02  -27.92202    
      870000      300031  2.4152903E-02  -22.87946    
      870000      310032  7.4020964E-03  -17.03207    
      870000      570056  4.3466516E-02  -19.74735    
      870000      580057  4.6741858E-02  -18.90602    
      870000      590058  3.8255382E-02  -17.11207    
      870000      600059  6.5032816E-03   69.82204    
      870000      600061  5.6407563E-02  -24.32533    
      870000      340033  2.7607352E-02  -7.512535    
      870000      350034  2.9782852E-02  -13.71020    
      870000      360035  2.6403891E-02  -19.89270    
      870000      370036  5.2809164E-02  -22.30600    
      870000      370038  3.5201825E-02  -9.879934    
      870000      380039  6.6475077E-03  -38.79583    
      870000      400041  2.7215483E-02  -24.68526    
      870000      410042  1.2448116E-02  -22.42143    
      870000      420043  7.8093424E-03  -14.73499    
      870000      630062  5.0025400E-02  -19.57740    
      870000      640063  4.2209852E-02  -16.44043    
      870000      650064  3.5624973E-02  -16.84776    
      870000      650066  2.8975811E-02  -44.65262    
      870000      660067  6.8806663E-02  -17.08025    
      880000       20001  8.3654178E-03  -17.09707    
      880000       30002  1.7882423E-02  -20.36414    
      880000       40003  1.9332770E-02  -20.87557    
      880000       50004  7.1654525E-03  -20.41003    
      880000       60005  9.9545587E-03  -20.43731    
      880000       70006  2.5260119E-02  -23.55918    
      880000       80007  5.1058054E-02  -21.45956    
      880000       90008  3.1842101E-02  -20.54359    
      880000      100009  4.4559050E-02  -11.70960    
      880000      120011  1.7152676E-02  -7.009918    
      880000      130012  2.8077001E-02  -6.904689    
      880000      140013  1.2995481E-02  0.6740148    
      880000      150014  3.2171600E-03   19.12999    
      880000      160017  7.3993513E-03  -11.56621    
      880000      170018  1.0446303E-02  -8.654207    
      880000      180019  1.2321140E-02  -8.256190    
      880000      190020  9.9658640E-03  -7.398857    
      880000      200021  8.6815637E-03  -7.514901    
      880000      230022  1.6601704E-02  -1.795759    
      880000      240023  1.5517224E-02  -3.528298    
      880000      250024  1.1783252E-02   2.228608    
      880000      260025  2.0264648E-02  -12.60501    
      880000      270026  2.8468424E-02  -18.67801    
      880000      280027  6.0182378E-02  -19.12879    
      880000      290028  0.1600487      -16.99491    
      880000      300029  3.5327937E-02  -2.008769    
      880000      300031  6.9496498E-02  -16.69816    
      880000      310032  3.3983897E-02  -13.91572    
      880000      570056  2.7782459E-02  -17.40368    
      880000      580057  3.0483266E-02  -17.55615    
      880000      590058  2.8096316E-02  -16.36430    
      880000      600059  2.9877897E-02  -22.39712    
      880000      610060  7.5448178E-02  -16.44879    
      880000      340033  1.4617143E-02  0.2180281    
      880000      350034  1.4520928E-02  -4.119965    
      880000      360035  1.3816502E-02  -3.280518    
      880000      370036  3.0290389E-02  -17.61349    
      880000      380037  2.2722403E-02  -17.08063    
      880000      390038  0.1335701      -20.06684    
      880000      400039  0.1010007      -10.79400    
      880000      400041  2.5430001E-02  -22.56291    
      880000      410042  5.2729983E-02  -16.65454    
      880000      420043  3.3229493E-02  -12.90655    
      880000      630062  3.1551402E-02  -17.57083    
      880000      640063  2.9105760E-02  -16.28292    
      880000      650064  3.5265658E-02  -16.77189    
      880000      660065  3.7211929E-02  -29.05538    
      880000      670066  8.5515082E-02  -8.522688    
      890000       20001  7.9336390E-03  -17.29680    
      890000       30002  1.6929118E-02  -20.63749    
      890000       40003  1.8302899E-02  -21.20954    
      890000       50004  6.7977402E-03  -20.83698    
      890000       60005  9.5442384E-03  -20.99223    
      890000       70006  2.4810439E-02  -24.16032    
      890000       80007  5.2227158E-02  -21.71929    
      890000       90008  3.4908555E-02  -19.78519    
      890000      100009  5.2877903E-02  -10.22004    
      890000      110010  2.7873674E-02  -9.546636    
      890000      120011  2.3859711E-02  -5.686296    
      890000      130012  4.3727525E-02  -6.615477    
      890000      140013  3.0265367E-02  -4.338759    
      890000      150014  2.3335690E-02  -5.184093    
      890000      160015  1.3054059E-02  -5.442157    
      890000      160017  5.8111069E-03  -17.65954    
      890000      170018  2.0463105E-02  -7.350610    
      890000      180019  2.4587214E-02  -6.889205    
      890000      190020  1.7813496E-02  -6.224812    
      890000      200021  1.3774833E-02  -6.537884    
      890000      230022  1.4679884E-02 -0.5741878    
      890000      240023  1.3234748E-02  -1.188901    
      890000      250024  9.2441421E-03   7.036660    
      890000      260025  1.5722169E-02  -9.862623    
      890000      270026  1.9857893E-02  -15.67558    
      890000      280027  3.6231559E-02  -16.28550    
      890000      290028  0.1069780      -16.01083    
      890000      300029  7.1453393E-02  -11.53051    
      890000      310030  4.5447610E-02  -10.33566    
      890000      310032  2.4299968E-02  -12.44055    
      890000      570056  2.5139455E-02  -17.36399    
      890000      580057  2.7372930E-02  -17.85519    
      890000      590058  2.4351189E-02  -17.25975    
      890000      600059  2.6901809E-02  -26.65973    
      890000      610060  8.4725685E-02  -15.49422    
      890000      340033  1.2651580E-02   2.335839    
      890000      350034  1.2106583E-02  -1.362690    
      890000      360035  1.0637833E-02   1.163848    
      890000      370036  2.2802114E-02  -15.28450    
      890000      380037  1.3414672E-02  -11.62515    
      890000      390038  8.2370624E-02  -18.45676    
      890000      400039  8.9231811E-02  -12.09179    
      890000      410040  6.5895922E-02  -11.73160    
      890000      420041  8.7165218E-03  -5.504562    
      890000      420043  3.5947379E-02  -11.16786    
      890000      630062  2.8410237E-02  -17.62556    
